breed_name,coat_length,characteristics,personality
Abyssinian,Shorthair,"Ticked coat; ruddy, red, blue and fawn colors","Busy, active, agenda-driven and affectionate"
American Bobtail,Longhair and Shorthair,"Medium to large, naturally occurring, bobtailed cat",Loving and intelligent
American Curl,Longhair and Shorthair,"Ears curl back, away from the face; available in a variety of colors and patterns",Energetic and affectionate
American Shorthair,Shorthair,"Stocky, working breed",available in a wide variety of colors and patternsPersonality
American Wirehair,Shorthair,"Crimped, springy coat; available in a variety of colors and patterns",Even temperament
Balinese,Longhair,LH variety of Siamese and Colorpoint Shorthair,"Vocal, affectionate, active"
Bengal,Shorthair,"Richly colored, highly contrasted coat of vivid spots or distinctive marbling",Curious and athletic
Birman,Longhair,Stocky body with white feet and point color pattern; easy to groom coat of intermediate length,Sweet and affectionate
Bombay,Shorthair,"Glossy, black coat",Playful and affectionate; lap cats
British Shorthair,Shorthair,"Stocky, sturdy, plush coat; blue is very popular but also come in other colors",Calm and quiet; enjoy people
Burmese,Shorthair,"Stocky and well muscled; sable, also champagne, blue and platinum","People oriented, affectionate"
Burmilla,Longhair and Shorthair,"Sparkling silver coat, and distinctive “make up” lining the nose, lips and eyes","Sociable, playful, and affectionate"
Chartreux,Shorthair,"Blue only, well muscled, medium woolly coat",Quickly become attached to their family
Colorpoint Shorthair,Shorthair,Non-traditional point colors,"Vocal, affectionate, active; can be insistent"
Cornish Rex,Shorthair,"Soft, wavy, curly coat; many colors and patterns","Active, racy, affectionate"
Devon Rex,Shorthair,"Naturally curly, wavy coat; many colors and patterns",Pixie look and personality
Egyptian Mau,Shorthair,"Spotted pattern in silver, bronze and black smoke",Athletic and active
European Burmese,Shorthair,Moderate type with gently rounded contours,"Highly intelligent, affectionate and extremely loyal"
Exotic,Longhair and Shorthair,Body and head type like a Persian but with a short plush coat; available in same colors and patterns as the Persian,"Sweet, affectionate, quiet"
Havana Brown,Shorthair,Chocolate brown,"Busy, affectionate"
Japanese Bobtail,Longhair and Shorthair,Short pom-pom tail; many colors and patterns available,"Active, intelligent, and affectionate"
Khao Manee,Shorthair,"Pure, glistening white cat with luminous, vibrant eye color",Curious and Intelligent
Korat,Shorthair,Thai “good luck” cat; silver blue coat and a heart shaped face; muscular,Energetic and affectionate
LaPerm,Longhair and Shorthair,"Medium sized, curly coated; many colors and patterns","Affectionate, gentle and while very active, enjoy sitting in a comfortable lap"
Lykoi,Shorthair,"Partial hairlessness, and unique “roan” patterned coat",Fun loving and intelligent
Maine Coon Cat,Longhair,"Large, rugged cat; many colors and patterns are available","Gentle, easy going yet active"
Manx,Longhair and Shorthair,"Tailless cat from the Isle of Man; thick, dense coat; heavy cat; many colors and patterns are available",Quiet and gentle
Norwegian Forest Cat,Longhair,Stocky and hardy with a heavy coat,Active and sweet
Ocicat,Shorthair,Spotted hybrid; athletic and muscular,"Strong, active and social"
Oriental,Longhair and Shorthair,Siamese style cat without the point markings; over 150 colors and patterns are possible,"Vocal, affectionate, active; can be insistent"
Persian (including Himalayan),Longhair,"Stocky body, long full coat, round head with a short nose; broad face; available in a variety of colors and patterns","Sweet, affectionate, quiet"
RagaMuffin,Longhair,"Large size, large expressive eyes, all colors except pointed","Docile, people loving and affectionate"
Ragdoll,Longhair,Large cat with color at the points,"Docile, placid and affectionate"
Russian Blue,Shorthair,"Short, dense silver tipped blue coat","Graceful, playful and quiet"
Scottish Fold,Longhair and Shorthair,Ears fold forward and down; large round eyes; also available with straight ears; many colors and patterns are bred,Affectionate and laid back; sweet expressions
Selkirk Rex,Longhair and Shorthair,"Naturally curly coat; rounded, stocky body",Quiet
Siamese,Shorthair,"Long, slender body with color at the points – chocolate, seal, blue and lilac; long slender legs; long wedge shaped head","Vocal, affectionate, active; can be insistent"
Siberian,Longhair,Russian native breed; rare outside of Europe,Large and powerful
Singapura,Shorthair,"Warm beige, ticked coat; large expressive eyes; small cat","Sweet, demanding, affectionate and occasionally bossy"
Somali,Longhair,Longhaired variety of the Abyssinian and available in the same colors,"Busy, active, agenda-driven and affectionate"
Sphynx,Shorthair,The “hairless” cat; rare,"Active, affectionate"
Tonkinese,Shorthair,Originally developed from Burmese and Siamese; strikes a balance between the two parent breeds,"Can be vocal, people oriented"
Toybob,Longhair and Shorthair,"Naturally small, bobtailed cat originating in Russia","Affectionate, active, playful and agile"
Turkish Angora,Longhair,Originated in Turkey; silky intermediate length coat; long body; several colors and patterns,"Busy, curious"
Turkish Van,Longhair,All white except for color on head and tail,Sweet and interested; enjoy water
