breed_name,weight,color_options,life_expectancy
Abyssinian Cat,"Small to medium, with males weighing 7 to 10 pounds and females weighing 6 to 8 pounds","['Ruddy', 'red', 'blue', 'fawn']",9 to 15 years
American Bobtail Cat Breed,Medium to Large,"['Short', 'Medium', 'Long']","The American Bobtail bears a distinct resemblance to a bobtailed wildcat. From her markings and alert, hunter’s gaze to her short, expressive tail, her appearance suggests a scaled-down version of that wild cat. "
American Curl Cat Breed,Small to Medium,"['Short', 'Semi-long']",13+ years
American Shorthair Cat,"Medium to large, with males weighing 11 to 15 pounds and females weighing 8 to 12 pounds","['White', 'black', 'blue', 'red', 'creamandsilver', 'plusvariouspatternsandshadings']",15 to 20 years
American Wirehair Cat Breed,Medium to Large,['Medium'],"The American Wirehair is distinguished from other breeds by her wiry, dense coat, described as feeling like steel wool or lamb’s wool. There are several degrees of wiriness, varying from spiked to curly, with the individual hairs being crimped, hooked or bent. "
Balinese-Javanese Cat Breed,Medium,['Medium'],"Balinese and Javanese are talkative, similar to the Siamese. They are extroverts who get along well with children and other four-legged family members. "
Bengal Cat,Medium to large with males: 10 to 18 pounds and females: 6 to 12 pounds,"['Brightorangetolightbrown', 'withdarkspotsoradistinctivemarblingpattern']","One of the most distinctive features of this feline is its unique coat pattern and color. Most Bengal Cats’ coats have rich, highly contrasted shades of bright orange to light brown, with dark spots or a distinctive marbling pattern. Some even have a “glitter” to the tips of their fur, which glistens when the light hits it."
Birman Cat Breed,Medium to Large,['MediumtoLong'],"This healthy, long-lived breed has an outstanding, semi-long silky coat and a luxurious, long bottle-brush tail. Brilliant blue, almost-round eyes are prominent features of her sweet expression."
Bombay Cat,"Medium, with males weighing 8 to 11 pounds and females weighing 6 to 9 pounds",['Black'],"Bombays have a dramatic and deep black coat. The black coat is dominant, but occasionally a litter produces a sable-colored kitten, and some associations permit these kittens to be registered as Burmese. Bombay eye color ranges from gold to copper."
British Shorthair Cat Breed,"Medium to large, with males weighing 12 to 18 pounds and females weighing 9 to 15 pounds","['Blue', 'white', 'black', 'red', 'cream', 'smoke', 'silverandgolden', 'plusavarietyofpatternsandshadings']",12 to 17 years
Burmese Cat,"Medium, with males weighing from 8 to 12 pounds and females weighing from 6 to 10 pounds","['Sable', 'champagne', 'blue', 'platinum']",10 to 16 years
Chartreux Cat Breed,"Medium to large, with males weighing 10 to 15 pounds and females weighing 6 to 11 pounds","['Anyshadeofblue', 'fromashtoslate']",NA
Cornish Rex Cat Breed,"Small to medium, with males weighing 6 to 9 pounds and females weighing 5 to 7 pounds","['White', 'black', 'blue', 'red', 'cream', 'chocolate', 'lavender', 'silver', 'smokeandtabby', 'plusvariouspatternsandshadings']",NA
Devon Rex Cat Breed,Small to Medium,['Short'],"Described by some cat fanciers as the pixie of the cat world, the Devon Rex has a dainty, impish face, large, inquisitive eyes and oversized ears to match. Her whiskers and eyebrows are short. "
