organization_id,# of adoptable pets,age,Latitude,Longitude,name_y,url_y
AK26,1,Baby,64.777233,-147.3649,Loving Companions Animal Rescue Inc.,https://www.petfinder.com/member/us/ak/north-pole/loving-companions-animal-rescue-inc-ak26/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AK43,18,Young,61.153693000000004,-149.95932,Clear Creek Cat Rescue (CCCR),https://www.petfinder.com/member/us/ak/anchorage/clear-creek-cat-rescue-cccr-ak43/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AK56,2,Young,60.151652,-149.41271,Peninsula Unwanted Pets Society,https://www.petfinder.com/member/us/ak/seward/peninsula-unwanted-pets-society-ak56/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL01,12,Adult,32.426372,-86.27006999999999,Montgomery Humane Society,https://www.petfinder.com/member/us/al/montgomery/montgomery-humane-society-al01/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL09,6,Adult,33.201789,-86.61584,Shelby Humane Society,https://www.petfinder.com/member/us/al/columbiana/shelby-humane-society-al09/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL120,3,Adult,30.68164,-88.06676,City of Mobile Animal Shelter,https://www.petfinder.com/member/us/al/mobile/city-of-mobile-animal-shelter-al120/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL122,2,Young,32.488113,-86.52962,Prattville/Autauga Humane Society,https://www.petfinder.com/member/us/al/prattville/prattville-autauga-humane-society-al122/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL138,3,Adult,34.784028,-87.02767,Athens Limestone Animal Shelter,https://www.petfinder.com/member/us/al/athens/athens-limestone-animal-shelter-al138/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL143,1,Senior,34.813577,-86.80405,Forgotten Felines Inc.,https://www.petfinder.com/member/us/al/capshaw/forgotten-felines-inc-al143/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL144,12,Young,34.720813,-86.48931999999999,"A New Leash on Life, Inc.",https://www.petfinder.com/member/us/al/brownsboro/a-new-leash-on-life-inc-al144/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL184,5,Adult,34.595332,-86.98786,Decatur Animal Services,https://www.petfinder.com/member/us/al/decatur/decatur-animal-services-al184/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL186,13,Baby,33.896526,-86.63056,Crossing Paths Animal Rescue,https://www.petfinder.com/member/us/al/locust-fork/crossing-paths-animal-rescue-al186/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL193,2,Adult,34.712327,-86.08386999999999,Safe Haven no kill pet rescue,https://www.petfinder.com/member/us/al/scottsboro/safe-haven-no-kill-pet-rescue-al193/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL250,2,Baby,30.68164,-88.06676,Friends of the Mobile Animal Shelter,https://www.petfinder.com/member/us/al/mobile/friends-of-the-mobile-animal-shelter-al250/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL278,1,Adult,34.203621000000005,-86.1728,Second Chance Shelter,https://www.petfinder.com/member/us/al/boaz/second-chance-shelter-al278/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL285,2,Adult,33.963435,-86.5954,Animal Adoption Center of Blount County,https://www.petfinder.com/member/us/al/cleveland/animal-adoption-center-of-blount-county-al285/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL32,8,Young,30.485351,-87.71292,Baldwin County Animal Shelter,https://www.petfinder.com/member/us/al/summerdale/baldwin-county-animal-shelter-al32/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL423,1,Baby,45.237867,-93.66261,New Beginnings Animal Rescue,https://www.petfinder.com/member/us/mn/albertville/new-beginnings-animal-rescue-al423/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL43,2,Adult,34.711290999999996,-86.61691,Greater Huntsville Humane Society,https://www.petfinder.com/member/us/al/huntsville/greater-huntsville-humane-society-al43/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL438,2,Adult,33.406409000000004,-86.8295,Kitty Kat Haven and Rescue ,https://www.petfinder.com/member/us/al/hoover/kitty-kat-haven-and-rescue-al438/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL449,2,Adult,31.447119,-85.62908,Ozark Animal Shelter,https://www.petfinder.com/member/us/al/ozark/ozark-animal-shelter-al449/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL458,5,Young,31.180076,-85.4045,Kitty Kottage,https://www.petfinder.com/member/us/al/dothan/kitty-kottage-al458/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL48,1,Adult,33.356981,-86.81577,Weimaraner Rescue of the South,https://www.petfinder.com/member/us/al/birmingham/weimaraner-rescue-of-the-south-al48/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL52,36,Adult,33.193818,-87.56843,Tuscaloosa Metro Animal Shelter,https://www.petfinder.com/member/us/al/tuscaloosa/tuscaloosa-metro-animal-shelter-al52/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AL70,14,Young,34.711290999999996,-86.61691,Huntsville Animal Services,https://www.petfinder.com/member/us/al/huntsville/huntsville-animal-services-al70/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR120,4,Baby,34.506487,-93.01941,Guardian Angels Cat Rescue and Adoption Shelter,https://www.petfinder.com/member/us/ar/hot-springs/guardian-angels-cat-rescue-and-adoption-shelter-ar120/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR128,4,Adult,35.844795,-90.68443,NEA Humane Society,https://www.petfinder.com/member/us/ar/jonesboro/nea-humane-society-ar128/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR180,1,Baby,34.771291,-92.34241999999999,Out Of The Woods Animal Rescue,https://www.petfinder.com/member/us/ar/little-rock/out-of-the-woods-animal-rescue-ar180/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR199,1,Adult,36.040467,-94.13376,Arkansas Weimaraner Rescue,https://www.petfinder.com/member/us/ar/fayetteville/arkansas-weimaraner-rescue-ar199/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
AR238,1,Baby,34.364093,-92.8146,Stop Animal Cruelty in Hot Spring County,https://www.petfinder.com/member/us/ar/malvern/stop-animal-cruelty-in-hot-spring-county-ar238/?referrer_id=de035937-41db-4fe7-86a3-be6f4bbbb4e2
